sample,observed,chao1,se_chao1,ace,se_ace,shannon,simpson,inv_simpson,fisher,orchard,sample_location,management,lat,long,acreage,Elevation,Date,Precip,MinT,MaxT,VPDmin,VPDmax,PropPear,PropFruit,PropFor
F.10orgedge,232,236.5652174,3.375280222,237.9019875,7.582700912,3.536977122,0.930000997,14.28591781,38.99380407,10,edge,org,47.5071,-120.49856,27.5,1526,2017-04,2.31,37,57.6,1.15,10.2,7.2192682186,0.114591559,5.7295779513
F.10orgint,190,204.5263158,7.858303465,202.6081467,6.920552311,2.817690419,0.839480527,6.229773757,30.70398866,10,interior,org,47.5071,-120.49856,27.5,1526,2017-04,2.31,37,57.6,1.15,10.2,7.2192682186,0.114591559,5.7295779513
F.11convedge,188,205.55,8.920216806,203.2697353,6.933753247,2.682596741,0.833073604,5.990664305,30.31911001,11,edge,con,47.51059,-120.50062,4.82,1526,2017-04,2.31,37,57.6,1.15,10.2,66.1193295581,1.6042818264,0.3437746771
F.11convint,259,267.7241379,5.010134623,269.2407583,7.994272428,3.1678817,0.882008765,8.475205824,44.52102941,11,interior,con,47.51059,-120.50062,4.82,1526,2017-04,2.31,37,57.6,1.15,10.2,66.1193295581,1.6042818264,0.3437746771
F.15softedge,210,210.9375,1.302956515,211.8536324,7.118253003,3.636553356,0.931267259,14.54910699,34.60300954,15,edge,soft,47.51368,-120.4309,5.09,1152,2017-04,2.18,37.9,59.3,1.27,11.28,14.7823111144,1.4896902673,0
F.15softint,227,231.5833333,3.821891758,230.7639603,7.496421468,3.531161256,0.92516765,13.36320458,37.98680621,15,interior,soft,47.51368,-120.4309,5.09,1152,2017-04,2.18,37.9,59.3,1.27,11.28,14.7823111144,1.4896902673,0
F.16convedge,177,184.3333333,5.676742443,181.7596957,6.629319258,2.96689217,0.866299343,7.479394793,28.21909497,16,edge,con,47.51305,-120.433,14.9,1152,2017-04,2.18,37.9,59.3,1.27,11.28,55.3477230096,6.4171273055,0
F.16convint,164,168.125,3.364349292,168.8998021,6.394793448,3.005509565,0.909023263,10.99182086,25.77488329,16,interior,con,47.51305,-120.433,14.9,1152,2017-04,2.18,37.9,59.3,1.27,11.28,55.3477230096,6.4171273055,0
F.17softedge,212,214.3913043,2.21835569,216.3676538,7.27182866,3.174039236,0.887049303,8.853420369,34.99783485,17,edge,soft,47.50885,-120.46646,6.28,1165,2017-04,2.21,37.3,59.2,1.12,11.1,45.4928489334,1.9480565034,0.5729577951
F.17softint,62,62.33333333,0.924584094,62.52633996,3.895984298,2.039359953,0.751330797,4.021406709,8.268218428,17,interior,soft,47.50885,-120.46646,6.28,1165,2017-04,2.21,37.3,59.2,1.12,11.1,45.4928489334,1.9480565034,0.5729577951
F.18softedge,178,178.1666667,0.543426611,178.4295391,6.420893063,3.594397541,0.934208945,15.19963456,28.40881607,18,edge,soft,47.50041,-120.47248,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,1.7188733854,0.3437746771,0.3437746771
F.18softint,118,125.5,6.351957223,122.4287095,5.352990038,2.962128981,0.888388699,8.959666159,17.48000289,18,interior,soft,47.50041,-120.47248,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,1.7188733854,0.3437746771,0.3437746771
F.19orgedge,265,279.8823529,8.211312562,274.130008,8.14225699,3.515902306,0.915120302,11.78138028,45.76930038,19,edge,org,47.54962,-120.59423,4.6,1480,2017-04,2.54,36.3,57.5,1.17,10.31,5.7295779513,0,22.116170892
F.19orgint,222,227.2173913,3.689789959,227.8003857,7.322782911,3.153623589,0.902109176,10.21546204,36.98511644,19,interior,org,47.54962,-120.59423,4.6,1480,2017-04,2.54,36.3,57.5,1.17,10.31,5.7295779513,0,22.116170892
F.20convedge,267,271.1363636,3.185822864,271.8233818,8.147156697,3.597184751,0.913313031,11.53575926,46.18697231,20,edge,con,47.55185,-120.59628,5.42,1480,2017-04,2.54,36.3,57.5,1.17,10.31,17.303325413,0,24.7517767497
F.20convint,350,363,6.710740672,359.9723966,9.119646439,3.680739407,0.925386557,13.40241056,64.18509227,20,interior,con,47.55185,-120.59628,5.42,1480,2017-04,2.54,36.3,57.5,1.17,10.31,17.303325413,0,24.7517767497
F.21orgedge,235,235.5263158,0.905809602,236.3268259,7.639338046,3.512923309,0.920577135,12.59083267,39.60052733,21,edge,org,47.54987,-120.60308,3.65,1480,2017-04,2.54,36.3,57.5,1.17,10.31,15.8136351456,0,46.1803982875
F.21orgint,208,215.5,5.226480806,213.2697381,7.143754789,3.108353195,0.907050004,10.75847275,34.20906669,21,interior,org,47.54987,-120.60308,3.65,1480,2017-04,2.54,36.3,57.5,1.17,10.31,15.8136351456,0,46.1803982875
F.22softedge,108,110.3333333,2.553132055,110.3137884,5.120219476,1.362690882,0.420490938,1.725598556,15.75664531,22,edge,soft,47.47079,-120.43097,11.2,2041,2017-04,2.19,37.9,55.5,1.56,9.37,0,0,0.3437746771
F.22softint,110,120.9090909,7.244904412,118.467755,5.23451218,1.203475817,0.362068189,1.567565658,16.09884457,22,interior,soft,47.47079,-120.43097,11.2,2041,2017-04,2.19,37.9,55.5,1.56,9.37,0,0,0.3437746771
F.23convedge,215,215.6666667,1.069632804,216.4353953,7.313020536,3.571689126,0.928756918,14.03645059,35.59171836,23,edge,con,47.47164,-120.42838,9.65,2041,2017-04,2.19,37.9,55.5,1.56,9.37,24.2934105135,2.6356058576,0.9167324722
F.23convint,186,191,4.313310493,189.1485687,6.767314582,3.267909228,0.89561735,9.580136137,29.93516436,23,interior,con,47.47164,-120.42838,9.65,2041,2017-04,2.19,37.9,55.5,1.56,9.37,24.2934105135,2.6356058576,0.9167324722
F.24softedge,146,148,2.585445228,147.3350649,5.99471986,2.167911906,0.699013452,3.322407613,22.46089502,24,edge,soft,47.50772,-120.49292,13.1,1526,2017-04,2.31,37,57.6,1.15,10.2,51.7953846798,2.1772396215,7.2192682186
F.24softint,206,209.6666667,3.145064178,209.5874446,7.133385544,3.267145463,0.910092711,11.12256868,33.81601051,24,interior,soft,47.50772,-120.49292,13.1,1526,2017-04,2.31,37,57.6,1.15,10.2,51.7953846798,2.1772396215,7.2192682186
F.25ogredge,292,293.4,1.617977606,294.1822064,8.515939988,4.340559999,0.972145527,35.90087643,51.4733586,25,edge,org,47.58913,-120.63501,3.18,1401,2017-04,2.51,35.8,57.7,1.14,10.42,25.3247345448,0,33.8045099127
F.25orgint,322,327.3529412,3.970696085,326.1442626,8.92521718,4.309946338,0.961314724,25.84962823,57.97238303,25,interior,org,47.58913,-120.63501,3.18,1401,2017-04,2.51,35.8,57.7,1.14,10.42,25.3247345448,0,33.8045099127
F.8orgedge,234,247.5882353,7.68053765,243.7896164,7.66381351,3.545159051,0.93509219,15.4064664,39.39807689,8,edge,org,47.49619,-120.46866,7.65,1165,2017-04,2.21,37.3,59.2,1.12,11.1,17.532508531,1.2605071493,3.5523383298
F.8orgint,265,270.4545455,3.832258697,270.795844,8.108947306,3.843304259,0.945623774,18.39038982,45.76930038,8,interior,org,47.49619,-120.46866,7.65,1165,2017-04,2.21,37.3,59.2,1.12,11.1,17.532508531,1.2605071493,3.5523383298
F.9convEdge,201,204.3913043,2.776417063,206.3370937,7.081747411,3.311746925,0.922184277,12.85087331,32.83727759,9,edge,con,47.50171,-120.47091,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,58.2125119853,3.6669298888,2.0626480625
F.9convInt,192,200.4,5.022653883,201.8558694,6.757139259,3.105460804,0.915701049,11.86254382,31.0897953,9,interior,con,47.50171,-120.47091,15.5,1165,2017-04,2.21,37.3,59.2,1.12,11.1,58.2125119853,3.6669298888,2.0626480625
